State00,PUMA00,GEOID00,GISJOIN00,State10,PUMA10,GEOID10,GISJOIN10,State10_Name,PUMA10_Name,CPUMA00,CPUMA10,PUMA00_Pop00,PUMA10_Pop00,Part_Pop00,pPUMA00_Pop00,pPUMA10_Pop00,PUMA00_Pop10,PUMA10_Pop10,Part_Pop10,pPUMA00_Pop10,pPUMA10_Pop10,PUMA00_Land,PUMA10_Land,Part_Land,pPUMA00_Land,pPUMA10_Land,county_fips,area,climate_reg_recs
04,00109,0400109,G04000109,04,00132,0400132,G04000132,Arizona,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",25,25,120787,33770,11297,9.35,33.45,171054,102571,28101,16.43,27.4,201454268,359769481,105805150,52.52,29.41,013,368811391.2184045,Hot-Dry & Mixed Dry
04,00109,0400109,G04000109,04,00133,0400133,G04000133,Arizona,Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,25,25,120787,53238,3198,2.65,6.01,171054,103989,4277,2.5,4.11,201454268,94220352,2630461,1.31,2.79,013,101072237.05673982,Hot-Dry & Mixed Dry
04,00109,0400109,G04000109,04,00134,0400134,G04000134,Arizona,Maricopa County (West) & Gila River Indian Community (Northwest),25,25,120787,41217,0,0,0,171054,109882,0,0,0,201454268,16233844483,119,0,0,013,16253580169.706303,Hot-Dry & Mixed Dry
04,00110,0400110,G04000110,04,00121,0400121,G04000121,Arizona,Phoenix (Southwest) & Tolleson Cities,25,25,103499,52048,341,0.33,0.66,338420,123745,21087,6.23,17.04,13136138573,156566530,22584803,0.17,14.43,013,164232724.5602594,Hot-Dry & Mixed Dry
04,00110,0400110,G04000110,04,00130,0400130,G04000130,Arizona,Maricopa County--El Mirage City & Sun City,25,25,103499,87327,6668,6.44,7.64,338420,116222,7807,2.31,6.72,13136138573,108749703,6367510,0.05,5.86,013,114794975.6577208,Hot-Dry & Mixed Dry
04,00110,0400110,G04000110,04,00131,0400131,G04000131,Arizona,Maricopa County--Surprise City (Central),25,25,103499,21714,6413,6.2,29.53,338420,103540,76083,22.48,73.48,13136138573,99013114,72161994,0.55,72.88,013,99079739.31693527,Hot-Dry & Mixed Dry
04,00110,0400110,G04000110,04,00132,0400132,G04000132,Arizona,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",25,25,103499,33770,22473,21.71,66.55,338420,102571,74470,22.01,72.6,13136138573,359769481,253964331,1.93,70.59,013,368811391.2184045,Hot-Dry & Mixed Dry
04,00110,0400110,G04000110,04,00133,0400133,G04000133,Arizona,Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,25,25,103499,53238,41483,40.08,77.92,338420,103989,88197,26.06,84.81,13136138573,94220352,86604358,0.66,91.92,013,101072237.05673982,Hot-Dry & Mixed Dry
04,00110,0400110,G04000110,04,00134,0400134,G04000134,Arizona,Maricopa County (West) & Gila River Indian Community (Northwest),25,25,103499,41217,26121,25.24,63.37,338420,109882,70776,20.91,64.41,13136138573,16233844483,12694455577,96.64,78.2,013,16253580169.706303,Hot-Dry & Mixed Dry
04,00111,0400111,G04000111,04,00121,0400121,G04000121,Arizona,Phoenix (Southwest) & Tolleson Cities,25,25,169069,52048,4972,2.94,9.55,181865,123745,6545,3.6,5.29,79773573,156566530,12809634,16.06,8.18,013,164232724.5602594,Hot-Dry & Mixed Dry
