State,State FIPS,County FIPS,IECC Climate Zone,IECC Moisture Regime,BA Climate Zone,County Name
AZ,4,19,2,B,Hot-Dry,Pima
AZ,4,21,2,B,Hot-Dry,Pinal
AZ,4,23,3,B,Hot-Dry,Santa Cruz
AZ,4,25,4,B,Mixed-Dry,Yavapai
AZ,4,27,2,B,Hot-Dry,Yuma
CA,6,1,3,C,Marine,Alameda
CA,6,3,6,B,Cold,Alpine
CA,6,5,4,B,Mixed-Dry,Amador
CA,6,7,3,B,Hot-Dry,Butte
CA,6,9,4,B,Mixed-Dry,Calaveras
CA,6,11,3,B,Hot-Dry,Colusa
CA,6,13,3,B,Hot-Dry,Contra Costa
CA,6,15,4,C,Marine,Del Norte
CA,6,17,4,B,Mixed-Dry,El Dorado
CA,6,19,3,B,Hot-Dry,Fresno
CA,6,21,3,B,Hot-Dry,Glenn
CA,6,23,4,C,Marine,Humboldt
CA,6,25,2,B,Hot-Dry,Imperial
CA,6,27,4,B,Mixed-Dry,Inyo
CA,6,29,3,B,Hot-Dry,Kern
CA,6,31,3,B,Hot-Dry,Kings
CA,6,33,4,B,Mixed-Dry,Lake
CA,6,35,5,B,Cold,Lassen
CA,6,37,3,B,Hot-Dry,Los Angeles
CA,6,39,3,B,Hot-Dry,Madera
CA,6,41,3,C,Marine,Marin
CA,6,43,4,B,Mixed-Dry,Mariposa
CA,6,45,3,C,Marine,Mendocino
CA,6,47,3,B,Hot-Dry,Merced
CA,6,49,5,B,Cold,Modoc
CA,6,51,6,B,Cold,Mono
CA,6,53,3,C,Marine,Monterey
CA,6,55,3,C,Marine,Napa
CA,6,57,5,B,Cold,Nevada
CA,6,59,3,B,Hot-Dry,Orange
CA,6,61,3,B,Hot-Dry,Placer
CA,6,63,5,B,Cold,Plumas
CA,6,65,3,B,Hot-Dry,Riverside
CA,6,67,3,B,Hot-Dry,Sacramento
CA,6,69,3,C,Marine,San Benito
CA,6,71,3,B,Hot-Dry,San Bernardino
CA,6,73,3,B,Hot-Dry,San Diego
CA,6,75,3,C,Marine,San Francisco
CA,6,77,3,B,Hot-Dry,San Joaquin
CA,6,79,3,C,Marine,San Luis Obispo
CA,6,81,3,C,Marine,San Mateo
CA,6,83,3,C,Marine,Santa Barbara
CA,6,85,3,C,Marine,Santa Clara
CA,6,87,3,C,Marine,Santa Cruz
CA,6,89,3,B,Hot-Dry,Shasta
CA,6,91,5,B,Cold,Sierra
CA,6,93,5,B,Cold,Siskiyou
CA,6,95,3,B,Hot-Dry,Solano
CA,6,97,3,C,Marine,Sonoma
CA,6,99,3,B,Hot-Dry,Stanislaus
CA,6,101,3,B,Hot-Dry,Sutter
CA,6,103,3,B,Hot-Dry,Tehama
CA,6,105,4,B,Mixed-Dry,Trinity
CA,6,107,3,B,Hot-Dry,Tulare
CA,6,109,4,B,Mixed-Dry,Tuolumne
CA,6,111,3,C,Marine,Ventura
CA,6,113,3,B,Hot-Dry,Yolo
